,nominal__v_12,nominal__v_18,nominal__v_20,nominal__v_21,nominal__v_25,nominal__v_3,nominal__v_32,nominal__v_4,ordinal__v_0,ordinal__v_10,ordinal__v_13,ordinal__v_15,ordinal__v_17,ordinal__v_19,ordinal__v_22,ordinal__v_23,ordinal__v_24,ordinal__v_29,ordinal__v_31,ordinal__v_33,ordinal__v_5,ordinal__v_6,binary__v_1,binary__v_11,binary__v_14,binary__v_26,binary__v_27,binary__v_28,binary__v_30,binary__v_9,bin_literal,ord_norm,binary_sum,ratio__v_16,ratio__v_2,ratio__v_34,ratio__v_35,ratio__v_36,ratio__v_37,ratio__v_38,ratio__v_39,ratio__v_40,ratio__v_7,ratio__v_8
ordinal__v_17,2.9572137106221286,2.8133953049130516,9.189561262423647,3.3603134878819874,7.431461879345014,-1.5663250845824093,27.96333510899943,6.524954030697278,3.475806086713206,8.688022845299958,8.561653481952604,2.674367727772898,21.810003750273392,9.63498277816702,10.470033344400022,3.7471666142942297,7.106499368199682,11.009904358311832,8.57788680836463,10.147778330803547,15.894343541146421,8.36978403865863,0.009134733361388618,-0.44817974330474913,0.6030447306853974,0.6125204863196909,-0.5171630527836413,0.058082741413789184,0.38523885716316114,0.3591605772145488,-0.004673857659888186,0.535983979976656,0.15169133286708383,0.11221668877822259,0.21995475850344712,0.16018934470179108,0.049000522958152985,0.0803096313098046,0.05443110393243295,0.05060633705006232,0.06338070658358702,0.20684410128823494,0.22991103530826534,0.24275113692597136
ordinal__v_19,2.8434012398387356,2.225376165471727,4.510434837403022,2.680584826132773,1.6731693613486998,2.7081539161071326,5.880325887934839,9.76284475589078,2.9048828226928425,8.15289581623825,7.697757802844993,3.3641362823270193,9.63498277816702,14.116524687403112,13.550709470675686,2.7868070877114315,6.501561596089722,13.136875264406774,2.647748975406424,8.969565739989205,9.480467904210649,11.099177382658953,0.07847454088991682,-0.24368865901770018,0.5827612616463895,0.45933618217168315,-0.3303867361906106,0.05938506619468548,0.15979440395913388,0.6160677703000542,0.07441768352031407,0.5186030549737372,0.19739197570765038,0.19142370389225025,0.21952923967192767,0.16191003594019754,0.05011492870487824,0.07345505514727346,0.038329398810304664,0.03759380873342404,0.05852447708386609,0.2025376565997912,0.18554481336377293,0.14283725534393146
ordinal__v_22,3.0779479480924405,5.010385842343058,2.8098106153557447,2.661749209694412,1.0160587207875627,6.326399815234487,-0.9843382363554999,24.65106023644212,2.9219077038555383,7.60509259927537,5.055505434704167,3.819038064581315,10.470033344400022,13.550709470675686,30.595291366543005,2.770573206114579,4.374067150713794,23.009743493511575,-2.6855666382782166,7.8915296563072825,12.135734082018562,14.659078770732002,0.14171730877491806,-0.19370425971101524,0.6388123042279547,0.3950084443610433,-0.20663423647097895,0.06892619484100074,-0.013265585980917217,0.8109040518498198,0.12514460985976444,0.802465116871107,0.23453774598454646,0.2576199502911305,0.21778752929062536,0.15945287276681544,0.047381978267119165,0.0666600548622148,0.04838075363234199,0.03890729152218783,0.039912485260321755,0.2168561406692388,0.16994491891576247,0.12868012351381636
ordinal__v_23,2.87364632062368,1.643692101163556,1.7774350128414274,2.854056902002098,1.868183857224238,1.1399912391836098,5.393724024290437,2.12482608835655,3.2612830210048727,3.0929634766117258,3.171834141867472,3.0089656795850654,3.7471666142942297,2.7868070877114315,2.770573206114579,5.056841486962622,3.0972306271034533,2.768698069400325,3.2419220609348676,3.202504216628679,3.5200246835168945,2.7868631613777906,0.07767562994045049,-0.2924399928492191,0.593125590577846,0.536911184864331,-0.5476018236710802,0.054460576881438176,0.39190079735643174,0.4347902123137782,0.062166817535418854,0.14728037097766444,0.17840316791628189,0.15976101145203428,0.20462675397790947,0.15748134979986783,0.032503640066648305,0.06536149672312692,0.05663330965224605,0.041815365677950106,0.049520864655807684,0.19971522588011448,0.16851204841898,0.1388757340931224
ordinal__v_24,2.856802429710811,2.4382077912416276,5.096536437889817,3.088448366701794,4.280140428447217,0.7445920141105827,14.767248551245252,-2.3151358093095595,3.1572038422120148,5.7525505884403785,7.347014313219754,2.824316761806836,7.106499368199682,6.501561596089722,4.374067150713794,3.0972306271034533,8.216789330125078,3.910849949089543,6.418425237702378,6.499088733523502,6.231529764568327,5.818041924226157,0.013381897199758875,-0.3609829713713401,0.5955938728693357,0.5642008086821996,-0.5185174261409897,0.0631171573205003,0.42561411768363494,0.3791394579841665,0.01580739787467853,0.24440831993614975,0.16593527346103976,0.16147803977318131,0.2225374700400685,0.16832088994522043,0.04138501652380482,0.07111494277442079,0.04334537748250607,0.0270770614547268,0.05041177116502036,0.20263062527134654,0.17604397307578248,0.18466176799344744
ordinal__v_29,3.04381796156122,2.6879858561116454,5.508113332097131,2.534905163329816,0.9429181180123067,4.934251821838971,-3.0838302700085785,22.143282929954548,2.999246475409196,7.432939642527613,4.696692958368906,3.7941516276353258,11.009904358311832,13.136875264406774,23.009743493511575,2.768698069400325,3.910849949089543,27.171071595523436,-1.6448542417785463,7.543826705722056,11.910487968589862,12.428820032400589,0.1585094287037211,-0.1770709226394377,0.6288543705814219,0.42413357857697226,-0.2331674903758714,0.05846373699340766,0.042272604627354396,0.7561892003228968,0.13755056617856332,0.7676527729570303,0.23688350097006644,0.2334958440818081,0.22113640512568,0.15714158440369877,0.05439582650659229,0.04242643628896245,0.07185120870192602,0.06723727837846899,0.042591476940551834,0.22137196438822515,0.17237952656690572,0.1143901290175486
ordinal__v_31,2.68216266137835,18.929749550577903,41.83461439916231,8.397194415173834,56.93058885122267,3.805281209436806,70.13584269004795,-2.648693344777553,3.486812070495157,4.674240382255851,7.866739752121076,0.3300809681534877,8.57788680836463,2.647748975406424,-2.6855666382782166,3.2419220609348676,6.418425237702378,-1.6448542417785463,62.19777369501023,6.02113678810039,5.3725289417844335,0.6168401711745842,-0.8390269386776152,-1.4513531797099926,0.5718350162835714,0.7317128367612307,-0.8191158598535854,0.0390807083269949,0.9104331440893372,-0.04390776270512681,-0.6858649853449715,0.15413601322313933,-0.1286202907835988,0.11465927697740698,0.22760920876005955,0.1874686127806752,0.05380134355659296,0.10125930537611487,0.050068099082768915,0.012809849651285189,0.006521878072301837,0.17682147116203514,0.22930449432013125,0.45929870719663896
ordinal__v_33,2.8615259421208763,3.444444182273835,6.135668500812234,3.1620785036880776,6.394682273281953,2.368839461093202,14.288059515257032,11.273535533493748,3.359823676078514,8.28110665822044,7.628758531802641,3.1208701189539076,10.147778330803547,8.969565739989205,7.8915296563072825,3.202504216628679,6.499088733523502,7.543826705722056,6.02113678810039,10.603146329506618,8.98667757697362,8.03315438801422,0.035498517101357825,-0.36623113343200786,0.6001976041554461,0.5512110107583732,-0.4932411106583271,0.07861042237350363,0.31587434391034414,0.4449593937825964,0.02578799231476165,0.4046239346625714,0.16669700685589786,0.1677161653810045,0.2338062711168145,0.15977674214219184,0.040694928283975515,0.07739804351530921,0.051937774591293874,0.04666391335228977,0.05882579327263286,0.2102448759614015,0.18756595776989216,0.17965503036305744
ordinal__v_5,2.857270450510269,2.4687612771915646,4.322474450394792,3.2652133825079224,5.744503947919223,-1.288319896935493,22.282861736218365,8.593629559594092,3.602619736709149,8.525503594266496,7.283830672517576,3.034888924173965,15.894343541146421,9.480467904210649,12.135734082018562,3.5200246835168945,6.231529764568327,11.910487968589862,5.3725289417844335,8.98667757697362,20.312151760324486,8.458541435108344,0.08407191419951789,-0.39853234118105535,0.6123054909999001,0.5771188489686336,-0.4871719690517771,0.05111184087070751,0.3341729578359338,0.4548280814700404,0.0451492473947299,0.5513416999428924,0.17541497487312835,0.17813159636078785,0.21661806280637202,0.15260601362004061,0.0602075977934444,0.09067793747041486,0.0681264256211311,0.04788534810787945,0.057816424203418586,0.2168806927263017,0.21669368100819236,0.22673816105393307
ordinal__v_6,2.8836282660134716,4.2574017239598865,3.8940436719479563,2.6663593256058977,2.391894967915866,4.575648233790545,2.432214848751,13.447460084987696,2.872226851846712,7.7050854096320185,6.468662176702009,3.4716289455596976,8.36978403865863,11.099177382658953,14.659078770732002,2.7868631613777906,5.818041924226157,12.428820032400589,0.6168401711745842,8.03315438801422,8.458541435108344,13.499576671578161,0.09844842499619688,-0.20782927178628485,0.5872082920183287,0.4203197364870795,-0.29156182926734514,0.06390704651671494,0.11377735534382022,0.6528379382212551,0.09262600915454045,0.5066980109725884,0.20530109893282375,0.1976688606125374,0.20788302909822312,0.16319767916708455,0.04508217316397032,0.07112336985772981,0.051365557498803144,0.049094510462892336,0.05666818474615806,0.2033248095279866,0.1865323688582806,0.11849330336075574
